,,,Account details,,,,,,,Payment details,,,,,,,,,,,Account health,,,,,,,,Account decision,,,
Facilities,Parent,n10,Account Status,# Net Terms,Timezone,Autopay,Payment cycle,Last payment method,na,Past Due Balance,# of Past Due Invoices,Total Outstanding Balance,# Outstanding  Invoices,Broken P2P Count,Broken P2P Balance,Boken/Underpaid Invoice numbers,Open Credits,Total Open P2P,Next Invoice Due date,na1,# of pend/suspend cycles last 6-months,Total Count of Past Due in 7 Days,% of Past due/Total AR,Total ineligible,Near ineligible,Facility Payment Score,Payment Category,na3,Automated pend/suspend reccomendation,Action Decision for the Week,"Action plan
(Tell your story - Explain your Situation, Task, Action , Resolution where possible)",TL comments/questions
Pleasant View Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,92,Good Payer,,Keep Enrolled,,,
Silver Spring Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 28,490.91 ",3," $ 75,978.36 ",8,,,,,,1/21/2026,,,1,37.50%, $ -   ," $ 21,291.20 ",54,Ok Payer,,Suspension,,,
Fayette Health And Rehabilitation Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,92,Good Payer,,Keep Enrolled,,,
Kensington Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,66,Ok Payer,,Keep Enrolled,,,
Fort Washington Health Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,94,Good Payer,,Keep Enrolled,,,
Ellicott City Healthcare Center,CommuniCare (Parent Company),,ONBOARDING,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,81,Good Payer,,Keep Enrolled,,,
Crestwood Care Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,77,Ok Payer,,Keep Enrolled,,,
Clay Health Care Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,92,Good Payer,,Keep Enrolled,,,
Forestville Health & Rehabilitation Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,92,Good Payer,,Keep Enrolled,,,
Clinton Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 3,599.76 ",2," $ 15,260.04 ",5,,,,,,1/28/2026,,,0,23.59%," $ 1,414.04 ", $ -   ,62,Ok Payer,,Pending,,,
Hagerstown Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,, $ 712.08 ,1," $ 26,692.46 ",5,,,,,,1/21/2026,,,1,2.67%, $ -   , $ 712.08 ,85,Good Payer,,"Keep Enrolled, Send Pending Notice",,,
Greenbrier Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,82,Good Payer,,Keep Enrolled,,,
Allen View Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,84,Good Payer,,Keep Enrolled,,,
Bel Pre Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,#VALUE!,credit_card,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,80,Good Payer,,Keep Enrolled,,,
Battlefield Park Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 25,107.66 ",3," $ 101,478.19 ",8,,,,,,1/21/2026,,,1,24.74%, $ -   ," $ 15,188.83 ",75,Ok Payer,,Suspension,,,
South River Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Insufficient Data,No Data Found,, $ -   ,0, $ -   ,0,,,,,,No upcoming invoices,,,0,, $ -   , $ -   ,88,Good Payer,,Keep Enrolled,,,
Westminster Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 33,059.21 ",4," $ 98,156.06 ",8,,,,,,1/21/2026,,,1,33.68%, $ -   ," $ 24,700.89 ",55,Ok Payer,,Suspension,,,
Cedars Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 51,278.03 ",4," $ 123,668.28 ",8,,,,,,1/21/2026,,,1,41.46%, $ -   ," $ 23,224.89 ",55,Ok Payer,,Suspension,,,
Maplewood Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 8,612.66 ",3," $ 15,307.48 ",7,,,,,,1/21/2026,,,1,56.26%, $ -   ," $ 7,657.58 ",44,Bad Payer,,Suspension,,,
Laurelwood Healthcare Center,CommuniCare (Parent Company),,ENROLLED,30,,,Weekly,credit_card,," $ 1,639.32 ",1," $ 1,639.32 ",1,,,,,,No upcoming invoices,,,0,100.00%, $ -   ," $ 1,639.32 ",55,Ok Payer,,Low Balance Invoice,,,
